latitude,longitude,name,status,type,colour,DNR,EIGANDI,DAGS
64.14690824319736,-21.95593798535893,1703,,Götuljós,blue,41,Vegagerðin                      ,1995/11/01
64.13350058416974,-21.92946670700022,82946,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13335698945079,-21.928797781667615,82974,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13329791646721,-21.928522228781997,82915,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.09671016438706,-21.839403382650627,21288,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/03/23
64.09675690083245,-21.83717961910246,21282,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/03/23
64.09684431420837,-21.83765389157585,21281,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/03/23
64.09696894936083,-21.84238283862562,21354,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1995/10/24
64.09568207984259,-21.844018486262335,21348,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09783813599907,-21.84873158366383,31268,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1998/09/28
64.13203019212477,-21.9278471046689,82934,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2022/01/11
64.13252435734962,-21.929650853542302,82929,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2022/01/11
64.13254746298928,-21.928288425952807,82936,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2022/01/11
64.13212698922557,-21.928210921880225,82933,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2022/01/11
64.13239119040384,-21.928467119303804,82935,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2022/01/11
64.13492935314298,-21.93043656548069,82854,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2022/01/11
64.13272304523792,-21.930348224749984,82927,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2022/01/11
64.09740538075783,-21.8392651261275,21277,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/03/23
64.09758049002933,-21.839342301195146,21276,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/03/23
64.09688555749712,-21.849669493290786,21298,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.0969779871991,-21.84933731923022,21299,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.097271446081,-21.84798957452441,21295,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09709634802134,-21.847699349052874,21294,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09689800276948,-21.845670170140117,21314,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09535054238658,-21.847689962053842,21325,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.0959267505149,-21.847318663065426,21322,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09599070627239,-21.84627061481964,21328,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.11310145653809,-21.8075604670015,85564,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.11114565211413,-21.800491807297355,85569,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.1122242104964,-21.804000284702703,85538,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11259783080762,-21.8048741447253,85546,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11366367676733,-21.810324743414462,85579,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
